program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,birthday,num_neighbors,stand_up,money,random_number,bed_time,good_day1,good_day2
Business Analytics,yes,yes,yes,no,male,slim,19-10-xxxx,2,no,110,unknown,23:30,Food,Beer
Computer Science,no,no,yes,yes,male,neither,24-03-1994,1,no,1,7,unknown,Food,Beer
Artificial Intelligence,yes,yes,yes,no,male,fat,30-07-1992,8,no,11,2,04:00,Friends,Beer
Computer Science,no,no,no,yes,male,no idea,09-01-1994,6,no,0,8,00:00,Sleep,Beer
Business Analytics,yes,yes,yes,yes,male,no idea,24-04-xxxx,6,no,0.4,9,01:15,Sports,Beer
Bioinformatics and Systems Biology,no,no,no,yes,female,fat,05-10-1987,7,no,1,13,01:30,Weather,Beer
Computational Science,no,no,yes,yes,male,fat,07-11-1991,7,no,110,9293746289201,23:55,Weather,Beer
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,16-01-1996,0,no,100,4578994211,23:00,Animals,Coffee
Computer Science,no,no,yes,yes,female,slim,30-03-1995,6,no,1,42,23:45,Animals,Coffee
Artificial Intelligence,yes,yes,yes,yes,male,fat,23-12-xxxx,5,no,1234,4,23:30,Food,Coffee
Computational Science,no,no,yes,no,male,neither,27-01-1995,8,no,52.6,4,10:30,Food,Coffee
Computational Science,no,no,yes,no,female,slim,08-08-1993,1,no,50,1,00:30,Friends,Coffee
Computational Science,yes,no,yes,no,male,neither,31-12-1993,3,no,0.25,8,02:00,Friends,Coffee
Artificial Intelligence,yes,yes,yes,no,male,neither,15-10-1993,5,no,0.5,8,24:00,Weather,Coffee
Artificial Intelligence,yes,no,yes,no,female,no idea,22-12-1993,3,no,1,8,22:45,Weather,Coffee
Artificial Intelligence,yes,no,yes,yes,female,no idea,10-09-1995,2,no,1,7,22:00,Weather,Coffee
Business Analytics,yes,yes,yes,yes,female,fat,13-09-1995,7,no,0.25,8,23:00,Weather,Coffee
Artificial Intelligence,no,no,no,no,female,neither,10-03-1995,1,no,10,9,01:00,Weather,Coffee
Business Analytics,yes,yes,yes,yes,male,fat,10-08-1995,400,no,0.25,4,23:55,Beer,Food
Business Analytics,yes,yes,yes,no,female,fat,14-04-xxxx,2,no,10,9,22:20,Coffee,Food
Artificial Intelligence,yes,no,yes,yes,male,no idea,30-01-1995,8,no,0.001,9,23:00,Coffee,Food
Computer Science,yes,yes,yes,no,male,neither,27-09-1993,5,no,1,6739,23:00,Food,Food
Bioinformatics and Systems Biology,no,no,no,no,male,fat,06-11-1992,2,no,1,537,02:30,Food,Food
Computer Science,yes,no,yes,yes,male,no idea,07-12-1995,2,no,200,2,23:20,Food,Food
Computational Science,no,no,yes,no,male,no idea,04-01-1996,7,unknown,0.25,6.28394957743736E+036,23:59,Food,Food
Artificial Intelligence,yes,yes,yes,yes,male,fat,23-01-xxxx,9,no,101,unknown,01:00,Free time,Food
Bioinformatics and Systems Biology,yes,no,yes,no,female,no idea,13-06-1993,4,no,5,3,02:00,Free time,Food
Business Analytics,no,no,yes,no,male,no idea,15-08-1995,2,no,101,2,23:15,Free time,Food
Artificial Intelligence,no,no,yes,no,male,neither,07-03-1995,6,no,0.25,6,23:45,Fun,Food
Econometrics and Operations Research,yes,yes,yes,yes,male,fat,05-11-1990,24,no,5,8,01:00,Sex,Food
Artificial Intelligence,yes,yes,yes,no,male,no idea,04-11-1992,1,no,70,2,02:00,Sex,Food
Bioinformatics and Systems Biology,no,no,yes,no,male,fat,26-11-1993,1,no,5,382763,23:00,Sleep,Food
Business Analytics,yes,yes,no,yes,unknown,fat,20-11-1995,2,yes,90,8,00:00,Sleep,Food
Bioinformatics and Systems Biology,no,no,yes,no,male,fat,02-03-1996,6,no,10,2,23:30,Sleep,Food
Bioinformatics and Systems Biology,no,no,yes,yes,male,fat,14-12-1995,6,no,1,8,00:00,Sleep,Food
Bioinformatics and Systems Biology,yes,no,no,no,female,slim,20-02-1995,2,no,5,33,00:00,Sleep,Food
