program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,stand_up,money,bed_time,good_day1,good_day2
Finance,no,no,yes,no,male,neither,no,0.5,01:30,Free time,unknown
Business Analytics,yes,yes,no,yes,male,unknown,unknown,25,04:00,unknown,unknown
Artificial Intelligence,no,no,no,yes,male,no idea,no,100,23:59,Fun,unknown
Computer Science,yes,yes,yes,yes,male,fat,no,40,23:00,Food,Sleep
Econometrics and Operations Research,yes,yes,yes,yes,male,no idea,no,100,23:30,Food,Sleep
Business Analytics,yes,no,yes,yes,female,fat,no,2,22:10,Food,Fun
Artificial Intelligence,no,no,unknown,unknown,female,neither,unknown,0,22:47,Weather,Work
Econometrics and Operations Research,yes,yes,yes,yes,male,fat,no,5,01:00,Sex,Food
Bioinformatics and Systems Biology,yes,no,no,no,male,fat,no,1,23:59,Food,Work
Business Analytics,yes,yes,yes,no,male,slim,no,110,23:30,Food,Beer
Bioinformatics and Systems Biology,no,no,no,yes,female,fat,no,1,01:30,Weather,Beer
Computational Science,no,no,yes,yes,male,fat,no,110,23:55,Weather,Beer
Computer Science,no,no,yes,yes,male,neither,no,1,unknown,Food,Beer
Computer Science,no,no,no,yes,male,no idea,no,0,00:00,Sleep,Beer
Computational Science,no,no,yes,no,male,no idea,no,10,23:30,Sports,Work
Business Analytics,no,no,yes,no,female,neither,no,10,23:30,Food,Friends
Artificial Intelligence,no,yes,yes,no,male,no idea,no,0.25,23:45,Money,unknown
Bioinformatics and Systems Biology,yes,no,yes,no,male,no idea,no,1,00:00,Weather,Food
Bioinformatics and Systems Biology,no,no,yes,yes,male,slim,no,100,02:00,Music,Work
Bioinformatics and Systems Biology,no,no,yes,no,male,fat,no,5,23:00,Sleep,Food
Computer Science,yes,yes,yes,no,male,neither,no,1,23:00,Food,Food
Bioinformatics and Systems Biology,no,no,no,no,male,fat,no,1,02:30,Food,Food
Econometrics and Operations Research,no,no,yes,no,male,neither,no,10,00:02,Sports,Food
Business Analytics,yes,yes,no,yes,unknown,fat,yes,90,00:00,Sleep,Food
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,100,23:00,Animals,Coffee
Computer Science,no,no,yes,yes,female,slim,no,1,23:45,Animals,Coffee
Artificial Intelligence,yes,yes,yes,yes,male,fat,no,1234,23:30,Food,Coffee
Computational Science,no,no,yes,no,female,slim,no,50,00:30,Friends,Coffee
Artificial Intelligence,yes,yes,yes,no,male,neither,no,0.5,24:00,Weather,Coffee
Artificial Intelligence,yes,no,yes,no,female,no idea,no,1,22:45,Weather,Coffee
Artificial Intelligence,yes,no,yes,yes,female,no idea,no,1,22:00,Weather,Coffee
Business Analytics,yes,yes,yes,yes,female,fat,no,0.25,23:00,Weather,Coffee
Computer Science,no,no,yes,yes,male,neither,no,0.25,01:48,Food,Work
Mathematics,yes,no,yes,no,male,neither,no,100,01:30,Work,Food
Business Analytics,yes,yes,yes,yes,male,no idea,no,0.4,01:15,Sports,Beer
Artificial Intelligence,yes,yes,yes,yes,male,no idea,yes,100,01:00,Sex,unknown
Artificial Intelligence,no,yes,yes,yes,female,fat,no,100,01:00,Food,Sleep
Computer Science,no,no,no,no,male,slim,unknown,0.37,23:16,Food,unknown
Computational Science,yes,yes,yes,no,male,neither,no,20,01:30,Coffee,Work
Econometrics and Operations Research,no,no,yes,no,male,fat,no,0.33,01:30,Food,unknown
Finance,no,no,yes,yes,male,no idea,no,5,00:01,Weather,Weather
Business Analytics,yes,yes,yes,no,female,fat,no,10,22:20,Coffee,Food
Econometrics and Operations Research,no,no,yes,no,male,neither,no,100,23:30,Weather,Food
Computational Science,yes,no,yes,yes,male,neither,no,0.25,01:00,Weather,Food
Computational Science,no,no,yes,yes,female,slim,no,10,01:30,Weather,Food
Business Analytics,yes,yes,yes,yes,male,slim,no,0.9999987888,01:00,Music,Food
Finance,no,no,yes,no,male,neither,no,5,00:30,Work,Food
Bioinformatics and Systems Biology,yes,yes,yes,yes,male,unknown,no,0.3,02:00,Work,Food
Business Analytics,no,no,yes,no,male,no idea,no,101,23:15,Holiday,Food
Computer Science,no,no,yes,yes,male,no idea,no,25,03:00,Food,Sports
Business Analytics,yes,no,yes,yes,female,fat,no,5,23:00,Weather,Free time
Artificial intelligence ,no,unknown,yes,unknown,female,neither,no,1,00:00,Food,Free time
Finance,unknown,no,yes,no,male,neither,no,50,23:00,Weather,Free time
Bioinformatics and Systems Biology,yes,no,no,yes,female,neither,no,20,00:00,Weather,Free time
Business Analytics,yes,yes,yes,yes,female,fat,no,50,23:00,Weather,Free time
Business Analytics,yes,no,yes,yes,female,neither,no,0.33,00:00,Sleep,Free time
Computational Science,yes,yes,yes,yes,male,neither,no,1,01:00,Weather,Free time
Finance,no,no,yes,no,male,fat,no,0.25,00:30,Free time,Free time
Artificial Intelligence,no,no,yes,no,male,slim,unknown,0.5,23:30,Food,Friends
Bioinformatics and Systems Biology,yes,no,yes,no,male,fat,no,0.25,12:20,Food,Friends
Computational Science,yes,yes,yes,yes,male,slim,unknown,0.25,00:45,Weather,Friends
Business Analytics,yes,yes,yes,yes,female,no idea,no,25,23:00,Weather,Friends
Computational Science,no,no,yes,yes,male,fat,yes,0.25,00:00,Weather,Friends
Econometrics and Operations Research,no,no,yes,unknown,male,fat,no,0.25,00:30,Weather,Fun
Artificial Intelligence,no,no,yes,no,male,neither,no,27,02:00,unknown,unknown
Business Analytics,yes,yes,yes,yes,male,fat,no,100,23:15,Sex,unknown
Artificial Intelligence,yes,yes,no,no,male,fat,no,100,00:30,Sleep,Work
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,no,0.25,04:40,Coffee,Sleep
Artificial Intelligence,yes,no,yes,yes,male,neither,no,1,00:00,Sleep,Work
Artificial Intelligence,yes,yes,yes,yes,female,fat,no,0.5,23:30,Sleep,Sports
Computer Science,yes,yes,yes,yes,male,fat,no,0.4,02:30,Sex,Sports
Business Analytics,yes,no,yes,no,male,neither,no,0.3,23:30,Free time,Sports
Artificial Intelligence,no,no,yes,no,male,neither,no,3,02:00,Free time,Weather
Computational Science,no,no,yes,no,male,neither,no,52.6,10:30,Food,Coffee
Computational Science,yes,no,yes,no,male,neither,no,0.25,02:00,Friends,Coffee
Artificial Intelligence,no,no,no,no,female,neither,no,10,01:00,Weather,Coffee
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,no,0.25,01:05,Free time,Friends
Mathematics,no,no,yes,no,female,no idea,no,5,23:00,Sleep,Friends
Mathematics,unknown,no,yes,no,male,neither,no,50,23:58,Work,Friends
Econometrics and Operations Research,no,no,yes,no,male,neither,no,0.25,23:45,Sports,Food
Business Analytics,yes,yes,yes,yes,male,fat,no,0.25,23:55,Beer,Food
Computational Science,no,no,yes,no,female,neither,no,0.25,23:30,Work,Food
