program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,stand_up,money,bed_time,good_day
Business Analytics,yes,yes,yes,no,male,slim,no,110,23:30,Food
Business Analytics,yes,yes,yes,no,male,slim,no,110,23:30,Beer
Computer Science,no,no,yes,yes,male,neither,no,1,unknown,Food
Computer Science,no,no,yes,yes,male,neither,no,1,unknown,Beer
Artificial Intelligence,yes,yes,yes,no,male,fat,no,11,04:00,Friends
Artificial Intelligence,yes,yes,yes,no,male,fat,no,11,04:00,Beer
Computer Science,no,no,no,yes,male,no idea,no,0,00:00,Sleep
Computer Science,no,no,no,yes,male,no idea,no,0,00:00,Beer
Business Analytics,yes,yes,yes,yes,male,no idea,no,0.4,01:15,Sports
Business Analytics,yes,yes,yes,yes,male,no idea,no,0.4,01:15,Beer
Bioinformatics and Systems Biology,no,no,no,yes,female,fat,no,1,01:30,Weather
Bioinformatics and Systems Biology,no,no,no,yes,female,fat,no,1,01:30,Beer
Computational Science,no,no,yes,yes,male,fat,no,110,23:55,Weather
Computational Science,no,no,yes,yes,male,fat,no,110,23:55,Beer
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,100,23:00,Animals
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,100,23:00,Coffee
Computer Science,no,no,yes,yes,female,slim,no,1,23:45,Animals
Computer Science,no,no,yes,yes,female,slim,no,1,23:45,Coffee
Artificial Intelligence,yes,yes,yes,yes,male,fat,no,1234,23:30,Food
Artificial Intelligence,yes,yes,yes,yes,male,fat,no,1234,23:30,Coffee
Computational Science,no,no,yes,no,male,neither,no,52.6,10:30,Food
Computational Science,no,no,yes,no,male,neither,no,52.6,10:30,Coffee
Computational Science,no,no,yes,no,female,slim,no,50,00:30,Friends
Computational Science,no,no,yes,no,female,slim,no,50,00:30,Coffee
Computational Science,yes,no,yes,no,male,neither,no,0.25,02:00,Friends
Computational Science,yes,no,yes,no,male,neither,no,0.25,02:00,Coffee
Artificial Intelligence,yes,yes,yes,no,male,neither,no,0.5,24:00,Weather
Artificial Intelligence,yes,yes,yes,no,male,neither,no,0.5,24:00,Coffee
Artificial Intelligence,yes,no,yes,no,female,no idea,no,1,22:45,Weather
Artificial Intelligence,yes,no,yes,no,female,no idea,no,1,22:45,Coffee
