Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,Money,Random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
,,,,,,,,,,,,,,,
4/5/2018 11:28:03,Finance,no,no,yes,no,male,neither,12-09-1996,1,no,0.5,9,01:30,No time series assignment,unknown
4/5/2018 11:28:32,Business Analytics,yes,yes,no,yes,male,unknown,05-04-2000,400,unknown,25,7,04:00,Guest lecture by Tupac,No heart attacks
4/5/2018 11:27:32,Artificial Intelligence,no,no,no,yes,male,no idea,30-12-1991,4,no,100,5,23:59,Fun,Good day
4/5/2018 11:27:38,Computer Science,yes,yes,yes,yes,male,fat,11-06-1993,10,no,40,8,23:00,Good food,Good sleep
4/5/2018 11:27:37,Econometrics and Operations Research,yes,yes,yes,yes,male,no idea,09-09-1994,1,no,100,7,23:30,McDonalds,Good sleep
4/5/2018 11:27:32,Business Analytics,yes,no,yes,yes,female,fat,27-09-1992,6,no,2,7,22:10,Good food,fun time
4/5/2018 12:10:39,Artificial Intelligence,no,no,unknown,unknown,female,neither,20-05-1993,7,unknown,0,88,22:47,Good weather,Activities
4/5/2018 11:27:58,Econometrics and Operations Research,yes,yes,yes,yes,male,fat,05-11-1990,24,no,5,8,01:00,Sex,Asian food
4/5/2018 11:27:45,Bioinformatics and Systems Biology,yes,no,no,no,male,fat,22-09-1988,9,no,1,7,23:59,Good dinner,Assignment done
4/5/2018 11:27:12,Business Analytics,yes,yes,yes,no,male,slim,19-10-xxxx,2,no,110,unknown,23:30,Cheese,Beer
4/5/2018 11:27:34,Bioinformatics and Systems Biology,no,no,no,yes,female,fat,05-10-1987,7,no,1,13,01:30,Good weather,Beer
4/5/2018 11:27:14,Computational Science,no,no,yes,yes,male,fat,07-11-1991,7,no,110,9293746289201,23:55,Good weather,Beer
4/5/2018 11:26:54,Computer Science,no,no,yes,yes,male,neither,24-03-1994,1,no,1,7,unknown,Pizza,Beer
4/5/2018 11:23:59,Computer Science,no,no,no,yes,male,no idea,09-01-1994,6,no,0,8,00:00,Sleep,Beer
4/5/2018 11:27:43,Computational Science,no,no,yes,no,male,no idea,18-02-1994,7,no,10,75389275660,23:30,Sports,Productive
4/5/2018 11:27:48,Business Analytics,no,no,yes,no,female,neither,18-02-1993,1,no,10,4,23:30,Good food,Friends
4/5/2018 11:27:45,Artificial Intelligence,no,yes,yes,no,male,no idea,19-04-1989,7,no,0.25,9,23:45,Salary,Bike not braking down
4/5/2018 11:27:55,Bioinformatics and Systems Biology,yes,no,yes,no,male,no idea,18-09-1991,6,no,1,8,00:00,Good weather,Breakfast
4/5/2018 11:27:37,Bioinformatics and Systems Biology,no,no,yes,yes,male,slim,05-02-1990,25,no,100,5,02:00,Music,Challenge
4/5/2018 11:28:25,Bioinformatics and Systems Biology,no,no,yes,no,male,fat,26-11-1993,1,no,5,382763,23:00,Good sleep,Cheese
4/5/2018 11:25:25,Computer Science,yes,yes,yes,no,male,neither,27-09-1993,5,no,1,6739,23:00,Chocolate,Chocolate
4/5/2018 11:27:52,Bioinformatics and Systems Biology,no,no,no,no,male,fat,06-11-1992,2,no,1,537,02:30,Food,Chocolate
4/5/2018 11:28:21,Econometrics and Operations Research,no,no,yes,no,male,neither,xx-xx-1995,3,no,10,8,00:02,Sports,Chocolate
4/5/2018 11:27:29,Business Analytics,yes,yes,no,yes,unknown,fat,20-11-1995,2,yes,90,8,00:00,Wake up time,Chocolate
4/5/2018 11:27:23,Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,16-01-1996,0,no,100,4578994211,23:00,Cats,Coffee
4/5/2018 11:26:10,Computer Science,no,no,yes,yes,female,slim,30-03-1995,6,no,1,42,23:45,Cats,Coffee
4/5/2018 11:27:13,Artificial Intelligence,yes,yes,yes,yes,male,fat,23-12-xxxx,5,no,1234,4,23:30,Food,Coffee
4/5/2018 11:27:32,Computational Science,no,no,yes,no,female,slim,08-08-1993,1,no,50,1,00:30,Good company,Coffee
4/5/2018 11:27:38,Artificial Intelligence,yes,yes,yes,no,male,neither,15-10-1993,5,no,0.5,8,24:00,Good weather,Coffee
4/5/2018 11:27:38,Artificial Intelligence,yes,no,yes,no,female,no idea,22-12-1993,3,no,1,8,22:45,Good weather,Coffee
4/5/2018 11:27:31,Artificial Intelligence,yes,no,yes,yes,female,no idea,10-09-1995,2,no,1,7,22:00,Good weather ,Coffee
4/5/2018 11:27:43,Business Analytics,yes,yes,yes,yes,female,fat,13-09-1995,7,no,0.25,8,23:00,Good weather ,Coffee
4/5/2018 11:27:39,Computer Science,no,no,yes,yes,male,neither,14-10-1992,1,no,0.25,46371646292,01:48,Good breakfast,Achievement
4/5/2018 11:27:48,Mathematics,yes,no,yes,no,male,neither,17-06-xxxx,5,no,100,10,01:30,Productive,Good food
4/5/2018 11:27:51,Business Analytics,yes,yes,yes,yes,male,no idea,24-04-xxxx,6,no,0.4,9,01:15,Sports,Drinks
4/5/2018 11:27:42,Artificial Intelligence,yes,yes,yes,yes,male,no idea,09-11-xxxx,3,yes,100,6.9,01:00,Sex,Drugs
4/5/2018 11:27:18,Artificial Intelligence,no,yes,yes,yes,female,fat,10-01-1995,5,no,100,2,01:00,Good food,Good sleep
4/5/2018 11:27:43,Computer Science,no,no,no,no,male,slim,22-05-1996,2,unknown,0.37,9,23:16,Good food,Fast train
4/5/2018 11:27:38,Computational Science,yes,yes,yes,no,male,neither,17-05-1994,6,no,20,7,01:30,Coffee,Achievement
4/5/2018 11:27:40,Econometrics and Operations Research,no,no,yes,no,male,fat,19-09-1993,4,no,0.33,8,01:30,Chocolate,Flying
4/5/2018 11:28:56,Finance,no,no,yes,yes,male,no idea,18-03-xxxx,1,no,5,3,00:01,Good weather,Rain
4/5/2018 11:27:12,Business Analytics,yes,yes,yes,no,female,fat,14-04-xxxx,2,no,10,9,22:20,Coffee,Food
4/5/2018 11:27:27,Econometrics and Operations Research,no,no,yes,no,male,neither,22-08-1995,4,no,100,3,23:30,Good weather,Food
4/5/2018 11:28:04,Computational Science,yes,no,yes,yes,male,neither,26-06-xxxx,5,no,0.25,9,01:00,Good weather,Food
4/5/2018 11:27:32,Computational Science,no,no,yes,yes,female,slim,05-08-1995,7,no,10,7,01:30,Good weather ,Food
4/5/2018 11:27:27,Business Analytics,yes,yes,yes,yes,male,slim,28-11-2018,8,no,0.9999987888,8,01:00,Music,Food
4/5/2018 11:28:00,Finance,no,no,yes,no,male,neither,10-09-xxxx,8,no,5,6,00:30,Success,Food
4/5/2018 11:27:31,Bioinformatics and Systems Biology,yes,yes,yes,yes,male,unknown,09-12-1994,2,no,0.3,1,02:00,Work,Food
4/5/2018 11:28:03,Business Analytics,no,no,yes,no,male,no idea,15-08-1995,2,no,101,2,23:15,Holiday,Food
4/5/2018 11:27:50,Computer Science,no,no,yes,yes,male,no idea,29-03-xxxx,3,no,25,7,03:00,Food,Football
4/5/2018 11:27:50,Business Analytics,yes,no,yes,yes,female,fat,13-06-1994,2,no,5,7,23:00,Good weather,Free time
4/5/2018 11:28:09,Artificial intelligence ,no,unknown,yes,unknown,female,neither,25-08-1996,0,no,1,3,00:00,Food,Free time
4/5/2018 11:27:53,Finance,unknown,no,yes,no,male,neither,xx-xx-1994,0,no,50,3,23:00,Good weather,Free time
4/5/2018 11:27:35,Bioinformatics and Systems Biology,yes,no,no,yes,female,neither,25-12-1994,300,no,20,1,00:00,Good weather,Free time
4/5/2018 11:27:23,Business Analytics,yes,yes,yes,yes,female,fat,25-05-1995,1,no,50,8,23:00,Good weather,Free time
4/5/2018 11:28:18,Business Analytics,yes,no,yes,yes,female,neither,19-03-1993,4,no,0.33,9,00:00,Good sleep,Free time
4/5/2018 11:27:18,Computational Science,yes,yes,yes,yes,male,neither,09-11-1992,1,no,1,9,01:00,Good weather,Freedom
4/5/2018 11:27:27,Finance,no,no,yes,no,male,fat,17-10-1992,1,no,0.25,7,00:30,No assigments,Freedom
4/5/2018 11:30:36,Artificial Intelligence,no,no,yes,no,male,slim,09-11-xxxx,2,unknown,0.5,6123,23:30,Food,Friends
4/5/2018 11:27:46,Bioinformatics and Systems Biology,yes,no,yes,no,male,fat,20-03-1995,2,no,0.25,10,12:20,Good dinner,Friends
4/5/2018 11:27:42,Computational Science,yes,yes,yes,yes,male,slim,26-01-1994,6,unknown,0.25,3,00:45,Good weather,Friends
4/5/2018 11:27:16,Business Analytics,yes,yes,yes,yes,female,no idea,03-10-xxxx,0,no,25,3,23:00,Good weather,Friends
4/5/2018 11:25:25,Computational Science,no,no,yes,yes,male,fat,14-05-1994,5,yes,0.25,3,00:00,Good weather,Friends
4/5/2018 11:28:15,Econometrics and Operations Research,no,no,yes,unknown,male,fat,02-09-1993,1,no,0.25,2,00:30,Good weather ,Fun
4/5/2018 11:27:42,Artificial Intelligence,no,no,yes,no,male,neither,03-09-1994,4,no,27,8,02:00,Relief,Future plans being solid
4/5/2018 11:27:25,Business Analytics,yes,yes,yes,yes,male,fat,16-10-1994,7,no,100,33,23:15,Sex,Gaming
4/5/2018 11:27:45,Artificial Intelligence,yes,yes,no,no,male,fat,14-03-1981,20,no,100,1,00:30,Good sleep,Get satisfaction at work
4/5/2018 11:27:46,Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,11-02-1996,1,no,0.25,2,04:40,Morning tea,Getting to bed early
4/5/2018 11:28:01,Artificial Intelligence,yes,no,yes,yes,male,neither,09-07-1994,1,no,1,10,00:00,Good sleep,Getting work done
4/5/2018 11:26:47,Artificial Intelligence,yes,yes,yes,yes,female,fat,23-02-1995,2,no,0.5,34,23:30,Good sleep,Sport
4/5/2018 11:28:15,Computer Science,yes,yes,yes,yes,male,fat,01-12-xxxx,5,no,0.4,69,02:30,Morning sex,Sport
4/5/2018 11:27:43,Business Analytics,yes,no,yes,no,male,neither,30-12-1992,300,no,0.3,9,23:30,Wake up without an alarm,Sport
4/5/2018 11:28:05,Artificial Intelligence,no,no,yes,no,male,neither,12-02-1993,3,no,3,7,02:00,No alarm,Good weather
4/5/2018 11:28:00,Computational Science,no,no,yes,no,male,neither,27-01-1995,8,no,52.6,4,10:30,Free cheese,Good coffee
4/5/2018 11:27:46,Computational Science,yes,no,yes,no,male,neither,31-12-1993,3,no,0.25,8,02:00,Friendly encounters,Good coffee
4/5/2018 11:27:32,Artificial Intelligence,no,no,no,no,female,neither,10-03-1995,1,no,10,9,01:00,Good weather,Good coffee
4/5/2018 11:29:04,Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,24-10-1993,1,no,0.25,5,01:05,Good book,Good company
4/5/2018 11:28:20,Mathematics,no,no,yes,no,female,no idea,24-09-1996,7,no,5,7,23:00,Good sleep,Good company
4/5/2018 11:27:33,Mathematics,unknown,no,yes,no,male,neither,05-02-1988,8,no,50,3,23:58,Productive,Good company
4/5/2018 11:27:48,Econometrics and Operations Research,no,no,yes,no,male,neither,10-12-1995,8,no,0.25,123581321,23:45,Sports,Good food
4/5/2018 11:27:22,Business Analytics,yes,yes,yes,yes,male,fat,10-08-1995,400,no,0.25,4,23:55,Beer,Good food
4/5/2018 11:27:10,Computational Science,no,no,yes,no,female,neither,03-11-xxxx,8,no,0.25,7,23:30,Good grade,Good food
4/5/2018 11:27:59,Bioinformatics and Systems Biology,no,no,yes,no,male,fat,02-03-1996,6,no,10,2,23:30,Good sleep,Good food
4/5/2018 11:27:35,Business Analytics,yes,no,yes,no,male,fat,29-07-xxxx,1,no,1,3,23:30,Good weather,Good food
4/5/2018 11:27:42,Business Analytics,yes,no,yes,no,female,fat,24-11-1995,1,no,75,9,01:00,Good weather,Good food
4/5/2018 11:27:45,Computational Science,yes,no,yes,no,male,neither,04-04-1990,8,no,0,4,11:49,Good weather,Good food
4/5/2018 11:27:45,Computer Science,yes,yes,yes,yes,male,fat,05-04-1995,8,no,80,6,00:30,Good weather,Good food
4/5/2018 11:27:51,Business Analytics,yes,yes,yes,yes,male,no idea,18-01-1997,5,unknown,100,7,00:30,Good weather,Good food
4/5/2018 11:27:06,Artificial Intelligence,yes,yes,yes,no,male,no idea,04-11-1992,1,no,70,2,02:00,Sex,Good food
4/5/2018 11:26:23,Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,16-10-xxxx,8,no,2,37,00:30,Good weather,Good food
4/5/2018 11:27:34,Business Analytics,yes,yes,yes,yes,male,neither,19-04-xxxx,7,no,0.456,4,01:12,Food,Good grade
4/5/2018 11:27:48,Business Analytics,yes,yes,yes,yes,male,neither,02-09-1996,1,no,5,1,00:00,Sleep,Good news
4/5/2018 11:27:18,Business Analytics,yes,yes,yes,yes,male,fat,xx-xx-1995,0,no,0,1,01:00,Good food,Good sex
4/5/2018 11:27:11,Computer Science,no,no,yes,yes,male,fat,21-09-1994,8,unknown,10,4,01:30,Coffee,Good sleep
4/5/2018 11:27:35,Business Analytics,yes,yes,yes,yes,male,fat,07-05-1994,6,no,0.25,9,00:30,Food,Good sleep
4/5/2018 11:27:58,PhD,no,no,yes,no,male,neither,01-03-1995,2,no,0.25,7,23:30,Good food,Good sleep
4/5/2018 11:28:08,Computer Science,no,yes,yes,no,male,neither,10-04-xxxx,3,no,1,42,22:30,Good sleep,Good sleep
4/5/2018 11:22:56,Finance,no,no,yes,no,male,neither,10-12-1994,49000,no,0.05,7,01:00,Productive,Good sleep
4/5/2018 11:27:36,Business Analytics,yes,yes,yes,yes,male,slim,24-08-1992,7,no,85,3,00:30,Sex,Good sleep
4/5/2018 11:27:33,Artificial Intelligence,no,no,yes,yes,male,no idea,02-09-1990,4,no,5,7,01:15,Bunnies,Good weather
4/5/2018 11:27:28,Business Analytics,yes,yes,yes,yes,female,fat,30-04-1994,6,no,25,8,23:15,Chocolate,Good weather
4/5/2018 11:27:36,Bioinformatics and Systems Biology,yes,yes,yes,yes,female,neither,21-11-1993,280,no,0.3,1,23:30,Chocolate,Good weather
4/5/2018 11:27:54,Finance,no,no,yes,no,male,no idea,03-12-1993,0,no,14,4,03:30,Coffee,Good weather
4/5/2018 11:27:34,Human Movement Science,no,no,yes,no,female,no idea,28-05-1992,1,no,0.4,8,00:30,Coffee,Good weather
4/5/2018 11:27:54,Artificial Intelligence,yes,yes,yes,yes,male,fat,02-07-1993,7,no,20,7,01:34,Coffee,Good weather
4/5/2018 11:27:50,Artificial Intelligence,yes,no,yes,no,male,no idea,25-10-1990,4,no,15,1,23:00,Coffee,Good weather
4/5/2018 11:27:51,Bioinformatics and Systems Biology,no,no,yes,yes,male,fat,14-12-1995,6,no,1,8,00:00,Rest,Good food
4/5/2018 11:23:04,Computer Science,no,no,unknown,yes,male,no idea,06-08-1993,100,yes,unknown,394749,01:00,Good grade,Good grade
4/5/2018 11:28:00,"Science, Business & Innovation",no,no,unknown,yes,male,neither,25-02-1994,2,no,0.5,6,23:45,Good sleep,Free time
4/5/2018 11:27:59,Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,05-08-1987,2,no,1,7,00:13,Good weather,Having the house quiet when I wake up
4/5/2018 11:27:41,Artificial Intelligence,yes,yes,yes,yes,female,no idea,09-09-xxxx,6,no,50,9,23:14,Good weather,If I got up with the correct leg
4/5/2018 11:27:38,Econometrics and Operations Research,no,no,yes,no,female,no idea,02-02-xxxx,4,no,1,1,22:30,Coffee,Laughing
4/5/2018 11:27:37,Computer Science,yes,no,yes,yes,male,neither,18-09-xxxx,10,no,100,7,02:00,Achievement,Learning
4/5/2018 11:27:06,Computer Science,yes,no,yes,yes,male,no idea,07-12-1995,2,no,200,2,23:20,Good food,Food
4/5/2018 11:27:14,Econometrics and Operations Research,no,no,yes,no,female,fat,29-10-1991,1,no,0.25,3,01:20,Good food,Good company
4/5/2018 11:27:33,Econometrics and Operations Research,no,yes,yes,no,male,fat,31-08-1994,1,no,100,8,12:00,Good weather,Food
4/5/2018 11:27:56,Business Analytics,no,no,yes,no,male,fat,12-10-1994,315,no,1,10,01:00,Playing football,Good company
4/5/2018 11:27:49,Bioinformatics and Systems Biology,no,no,no,no,female,neither,24-04-1995,2,no,10,10,00:00,Good weather,Good company
4/5/2018 11:28:10,Computer Science,no,yes,yes,yes,male,no idea,02-04-1995,6,no,0.25,9,00:00,Cloudy skies  ,Memes
4/5/2018 11:38:01,Econometrics and Operations Research,no,no,yes,no,male,fat,22-11-1991,3,no,2,2,02:00,Freedom,Money
4/5/2018 11:25:51,Bioinformatics and Systems Biology,yes,yes,unknown,yes,male,slim,19-08-1993,7,no,0.3,5,02:00,Free time,Free time
4/5/2018 11:28:26,Artificial Intelligence,yes,no,yes,yes,male,fat,18-08-1994,1,no,20,7,23:00,Coffee,Music
4/5/2018 11:27:16,Artificial Intelligence,yes,yes,yes,yes,female,no idea,14-01-xxxx,3,no,0.3,347,02:00,Good weather ,Music
4/5/2018 11:27:35,Finance,no,no,yes,yes,male,fat,03-04-1994,5,no,1,5,01:00,Food,Netflix
4/5/2018 11:26:43,Business Analytics,yes,yes,yes,yes,female,no idea,22-01-xxxx,1,yes,100,7,01:30,Sleep,Netflix
4/5/2018 11:28:03,Computer Science,no,yes,yes,no,male,fat,11-08-1992,2,no,1,8,01:00,Good food,New experiences
